Category,Filename_Scheme,Example_File,Description,Type,Notes
Weapons,"{name}-{type}_{rarity}.png","sword-sword_-1.png","Weapon sprite with optional rarity suffix",Sprite,"Used in TLA Weapons row; rarity -1 = starter"
Magic,"{name}-{type}_{rarity}.png","fireball-magic_0.png","Magic blast / spell sprite",Sprite,"TLA Weapons row; supports _0 / _1 rarity"
Armor,"{name}_{rarity}.png","leather-armor_0.png","Armor piece",Sprite,"TLA Armor row"
Usables,"{name}_{rarity}.png","health-usable_0.png","Consumable / key / waypoint",Sprite,"TLA Usables row"
Skills,"{name}_{rarity}.png","dash-skill_0.png","Skill / ability icon",Sprite,"TLA Skills row"
Nuke,"nuke_{size}.png","nuke_big.png OR nuke_small.png","Explosive entity",Sprite,"Interactive entity; spawns Smol Boi / Big Daddy"
Key,"key_{rarity}.png","key_0.png OR key_1.png","Unlock item",Sprite,"key_0 = normal, key_1 = Vortex Key"
Safe,"safe_{rarity}.png","safe_0.png","Safe container",Sprite,"safe_0 = locked, safe_1 = normal"
Aimdot,"{name}.png","Default.png OR aimdot_custom.png","Cursor / crosshair",Sprite,"Aimdot folder; optional (Material) in name for filtering"
Character,"{base}_R.png / {base}_L.png","witch_R.png","Flippable character sprite",Sprite,"Characters/ folder; _R = right-facing, _L = left-facing"
DIY_Character,"{custom}_R.png / {custom}_L.png","yourDIY_R.png","User-uploaded character",Sprite,"Characters/ folder; loaded via file dialog"
NPC,"{name}_{type} {rarity}.png + {name}_{type} {rarity}.npc","starter_Starter 0.png","NPC with dialogue",Sprite+Data,"NPCs/ folder; .npc file defines ring_menu & lines"
Enemy,"{name}_{type} {rarity}.png + {type}.dlist","lil baddy_Starter 0.png","Enemy with loot-drop list",Sprite+Data,"enemies/ folder; .dlist file defines drops, rate & amounts"
UI_Arrow,"{direction}_arrow.png","top_arrow.png","Edge-scroll arrow",Sprite,"Sprites/ui/ folder; 8 directions"
UI_TLA,"{cat}_tla.png","weapons_tla.png","Tabbed Loot Array icon",Sprite,"Sprites/ui/ folder; weapons/armor/usables/skills"
UI_Icon,"{name}_icon.png","bpack.png","HUD drawer icon",Sprite,"Sprites/ui/ folder; bpack, equip, i_tab, s_tab, safe_icon"
Sound_FX,"{effect}.wav","temp_hit.wav","Procedural sound effect",WAV,"Auto-generated if missing; hit, drop, explosion, etc."
Ambient,"ambient_{type}.wav","ambient_crumble.wav","Background horror sound",WAV,"Procedural; used in trigger_ambient_audio"
Music,"*.mp3 / *.ogg / *.wav","track1.mp3","Background music track",Audio,"Music/ folder; playlist scanned at startup"
Common_Sound,"{name}.wav","ui_click.wav","UI / player sound",WAV,"List: temp_footstep, running, breathing, drink, temp_explosion, etc."
Animations,"{anything without _ }_{frame number}_{animation_ID [hash, alphanumeric]}.gif",".gif","Animations played during events",GIF,"animations/ folder"
